Hero;Pick;Ban;Win;Win Rate%
Granger;119;80;69;58
Suyou;116;39;71;61
Gatotkaca;107;32;52;49
Harith;97;104;50;52
Badang;94;60;49;52
Joy;94;98;39;41
Kalea;83;69;42;51
Phoveus;73;102;34;47
Valentina;67;37;30;45
Hylos;66;28;33;50
Pharsa;66;39;39;59
Moskov;64;49;24;38
Zhuxin;63;126;25;40
Chou;60;29;31;52
Hayabusa;55;76;28;51
Cici;53;47;27;51
Gloo;46;56;27;59
Kimmy;45;27;26;58
Hilda;44;47;16;36
Yve;44;57;25;57
Chip;43;112;22;51
Luo Yi;39;140;20;51
lukas;36;64;15;42
Baxia;31;22;18;58
Irithel;31;18;16;52
Cecilion;29;9;16;55
Ling;28;23;13;46
Bruno;25;8;8;32
Edith;25;11;11;44
Fredrinn;25;34;14;56
Wanwan;25;16;14;56
Khaleed;24;7;10;42
Mathilda;23;79;9;39
Jawhead;21;37;10;48
Claude;20;7;11;55
Karrie;20;6;6;30
Fanny;19;177;6;32
Faramis;19;15;7;37
Selena;19;14;7;37
Beatrix;18;19;12;67
Vexana;16;5;8;50
Tigreal;15;33;8;53
Franco;14;18;10;71
Novaria;14;12;5;36
Hanzo;12;23;4;33
Alpha;11;4;6;55
Aurora;9;2;3;33
Lancelot;9;1;3;33
Terizla;9;0;4;44
Zhask;8;3;6;75
Benedetta;7;1;4;57
Masha;7;30;5;71
Ruby;7;2;2;29
X.Borg;6;4;3;50
Lunox;5;0;3;60
Angela;4;5;4;100
Clint;4;0;1;25
Esmeralda;4;2;2;50
Guinevere;4;1;1;25
Nolan;4;2;1;25
Yi Sun-shin;4;4;2;50
Arlott;3;3;2;67
Carmilla;3;1;1;33
Akai;2;2;2;100
Barats;2;0;0;0
Floryn;2;1;1;50
Helcurt;2;2;1;50
Kaja;2;0;2;100
Khufra;2;0;0;0
Leomord;2;0;1;50
Martis;2;0;0;0
Natan;2;0;1;50
Paquito;2;0;2;100
Uranus;2;3;1;50
Vale;2;0;2;100
Valir;2;0;0;0
Belerick;1;0;1;100
Julian;1;0;1;100
Kadita;1;0;0;0
Lylia;1;0;0;0