No.;Team;Team Code;Hero;Pick Count;Pick Rate%;BP Count;BP Rate%;Ban Count;Ban Rate%;Enemy Ban Count;Enemy Ban Rate%;Game Win Count;Game Win Rate%;Total Kills;Total Deaths;Total Assists;KDA
1;NAVI;ID-TP0015;Bruno;7;18;7;18.42;0;0;3;8;2;28.57;24;7;15;5.57
2;NAVI;ID-TP0015;Clint;1;3;1;2.63;0;0;0;0;0;0;2;0;0;2
3;NAVI;ID-TP0015;Fanny;2;5;31;81.58;29;76;2;5;0;0;9;4;8;4.25
4;NAVI;ID-TP0015;Hayabusa;6;16;8;21.05;2;5;7;18;2;33.33;13;11;23;3.27
5;NAVI;ID-TP0015;Chou;6;16;8;21.05;2;5;2;5;0;0;4;21;24;1.33
6;NAVI;ID-TP0015;Alpha;1;3;2;5.26;1;3;0;0;1;100;4;2;5;4.5
7;NAVI;ID-TP0015;Ruby;1;3;1;2.63;0;0;0;0;0;0;0;3;7;2.33
8;NAVI;ID-TP0015;Yi Sun-shin;1;3;1;2.63;0;0;0;0;0;0;7;5;7;2.8
9;NAVI;ID-TP0015;Moskov;4;11;5;13.16;1;3;8;21;0;0;9;3;7;5.33
10;NAVI;ID-TP0015;Hilda;6;16;9;23.68;3;8;13;34;2;33.33;7;20;29;1.8
11;NAVI;ID-TP0015;Vexana;3;8;4;10.53;1;3;1;3;0;0;3;5;5;1.6
12;NAVI;ID-TP0015;Karrie;2;5;2;5.26;0;0;1;3;0;0;7;2;1;4
13;NAVI;ID-TP0015;Gatotkaca;9;24;12;31.58;3;8;3;8;1;11.11;7;42;46;1.26
14;NAVI;ID-TP0015;Irithel;5;13;6;15.79;1;3;1;3;1;20;9;5;11;4
15;NAVI;ID-TP0015;Lancelot;1;3;1;2.63;0;0;0;0;0;0;1;3;0;0.33
16;NAVI;ID-TP0015;Hylos;5;13;7;18.42;2;5;6;16;0;0;2;23;21;1
17;NAVI;ID-TP0015;Pharsa;2;5;6;15.79;4;11;2;5;0;0;4;6;14;3
18;NAVI;ID-TP0015;Jawhead;3;8;9;23.68;6;16;2;5;0;0;4;13;24;2.15
19;NAVI;ID-TP0015;Valir;1;3;1;2.63;0;0;0;0;0;0;2;3;3;1.67
20;NAVI;ID-TP0015;Martis;1;3;1;2.63;0;0;0;0;0;0;2;3;4;2
21;NAVI;ID-TP0015;Claude;1;3;1;2.63;0;0;0;0;0;0;5;4;8;3.25
22;NAVI;ID-TP0015;Lunox;1;3;1;2.63;0;0;0;0;0;0;6;4;9;3.75
23;NAVI;ID-TP0015;Hanzo;1;3;2;5.26;1;3;3;8;0;0;1;1;3;4
24;NAVI;ID-TP0015;Kimmy;4;11;6;15.79;2;5;1;3;1;25;10;13;30;3.08
25;NAVI;ID-TP0015;Harith;7;18;17;44.74;10;26;6;16;1;14.29;26;8;28;6.75
26;NAVI;ID-TP0015;Faramis;1;3;5;13.16;4;11;0;0;0;0;0;4;3;0.75
27;NAVI;ID-TP0015;Badang;9;24;13;34.21;4;11;6;16;2;22.22;5;24;44;2.04
28;NAVI;ID-TP0015;Granger;8;21;16;42.11;8;21;11;29;2;25;46;13;29;5.77
29;NAVI;ID-TP0015;Terizla;1;3;1;2.63;0;0;0;0;0;0;1;6;5;1
30;NAVI;ID-TP0015;Baxia;2;5;2;5.26;0;0;0;0;0;0;4;10;8;1.2
31;NAVI;ID-TP0015;Wanwan;1;3;2;5.26;1;3;1;3;0;0;0;3;0;0
32;NAVI;ID-TP0015;Cecilion;4;11;4;10.53;0;0;0;0;3;75;13;4;25;9.5
33;NAVI;ID-TP0015;Luo Yi;4;11;19;50;15;39;9;24;0;0;6;14;36;3
34;NAVI;ID-TP0015;Benedetta;1;3;1;2.63;0;0;0;0;0;0;3;6;2;0.83
35;NAVI;ID-TP0015;Khaleed;4;11;4;10.53;0;0;0;0;1;25;4;11;20;2.18
36;NAVI;ID-TP0015;Yve;3;8;8;21.05;5;13;5;13;1;33.33;5;4;25;7.5
37;NAVI;ID-TP0015;Mathilda;1;3;13;34.21;12;32;16;42;1;100;0;2;13;6.5
38;NAVI;ID-TP0015;Gloo;4;11;10;26.32;6;16;2;5;1;25;4;14;10;1
39;NAVI;ID-TP0015;Phoveus;5;13;11;28.95;6;16;16;42;0;0;4;23;12;0.7
40;NAVI;ID-TP0015;Natan;1;3;1;2.63;0;0;0;0;0;0;1;1;4;5
41;NAVI;ID-TP0015;Valentina;8;21;13;34.21;5;13;3;8;1;12.5;11;13;51;4.77
42;NAVI;ID-TP0015;Edith;4;11;4;10.53;0;0;1;3;0;0;6;13;22;2.15
43;NAVI;ID-TP0015;Fredrinn;2;5;4;10.53;2;5;1;3;0;0;2;7;17;2.71
44;NAVI;ID-TP0015;Joy;9;24;19;50;10;26;6;16;0;0;12;25;29;1.64
45;NAVI;ID-TP0015;Novaria;1;3;2;5.26;1;3;2;5;0;0;1;2;3;2
46;NAVI;ID-TP0015;Nolan;1;3;1;2.63;0;0;1;3;0;0;4;0;3;7
47;NAVI;ID-TP0015;Cici;4;11;9;23.68;5;13;2;5;1;25;13;13;38;3.92
48;NAVI;ID-TP0015;Chip;2;5;8;21.05;6;16;12;32;0;0;2;10;17;1.9
49;NAVI;ID-TP0015;Zhuxin;7;18;19;50;12;32;11;29;0;0;7;10;28;3.5
50;NAVI;ID-TP0015;Suyou;8;21;11;28.95;3;8;2;5;3;37.5;18;17;48;3.88
51;NAVI;ID-TP0015;lukas;4;11;5;13.16;1;3;11;29;0;0;5;13;17;1.69
52;NAVI;ID-TP0015;Kalea;10;26;14;36.84;4;11;3;8;3;30;8;41;60;1.66
53;NAVI;ID-TP0015;Tigreal;0;0;1;2.63;1;3;2;5;0;0;0;0;0;0
54;NAVI;ID-TP0015;Akai;0;0;1;2.63;1;3;0;0;0;0;0;0;0;0
55;NAVI;ID-TP0015;Franco;0;0;1;2.63;1;3;0;0;0;0;0;0;0;0
56;NAVI;ID-TP0015;Zhask;0;0;1;2.63;1;3;1;3;0;0;0;0;0;0
57;NAVI;ID-TP0015;Helcurt;0;0;1;2.63;1;3;0;0;0;0;0;0;0;0
58;NAVI;ID-TP0015;Angela;0;0;1;2.63;1;3;0;0;0;0;0;0;0;0
59;NAVI;ID-TP0015;X.Borg;0;0;1;2.63;1;3;0;0;0;0;0;0;0;0
60;NAVI;ID-TP0015;Ling;0;0;2;5.26;2;5;1;3;0;0;0;0;0;0
61;NAVI;ID-TP0015;Masha;0;0;1;2.63;1;3;0;0;0;0;0;0;0;0
62;NAVI;ID-TP0015;Beatrix;0;0;1;2.63;1;3;2;5;0;0;0;0;0;0
63;NAVI;ID-TP0015;Arlott;0;0;1;2.63;1;3;1;3;0;0;0;0;0;0