Player,Player ID,Hero,Game Count,Game Win Count,Game Win Rate%,Total Kills,Total Deaths,Total Assists,Kills per Game,Deaths per Game,Assists per Game,KDA,Gold per Minute,Damage per Game,Damage Taken per Game,Building Damage per Game,Legendary,Savage,Maniac,Triple Kill,Double Kill
Andoryuuu,PH-P308,Alice,1,0,0,2,3,4,2,3,4,2,495,26006,53614,0,0,0,0,0,0
Andoryuuu,PH-P308,Akai,5,3,60,10,5,22,2,1,4.4,6.4,539.8,23615.8,112124.4,327.8,0,0,0,0,0
Andoryuuu,PH-P308,Bane,4,2,50,15,5,8,3.75,1.25,2,4.6,651,39077.5,26403,6384.5,1,0,0,0,2
Andoryuuu,PH-P308,Fanny,5,2,40,16,11,15,3.2,2.2,3,2.82,668.4,48570.4,50726.8,4053.8,0,0,0,0,0
Andoryuuu,PH-P308,Hayabusa,13,7,53.85,63,26,46,4.85,2,3.54,4.19,722,37067.92,37351.62,1867.08,2,0,1,3,9
Andoryuuu,PH-P308,Alpha,1,0,0,2,5,2,2,5,2,0.8,520,40605,100427,0,0,0,0,0,0
Andoryuuu,PH-P308,Yi Sun-shin,1,0,0,2,2,9,2,2,9,5.5,810,103864,48112,12771,0,0,0,0,0
Andoryuuu,PH-P308,Roger,1,0,0,8,2,2,8,2,2,5,713,103537,127598,11026,0,0,1,1,2
Andoryuuu,PH-P308,Lancelot,4,1,25,8,10,12,2,2.5,3,2,708,40653.25,62928,1865.25,0,0,0,0,0
Andoryuuu,PH-P308,Helcurt,1,0,0,0,4,3,0,4,3,0.75,559,15333,28748,0,0,0,0,0,0
Andoryuuu,PH-P308,Martis,5,2,40,10,11,19,2,2.2,3.8,2.64,533.2,31508,145673.8,770.2,0,0,0,0,0
Andoryuuu,PH-P308,Hanzo,2,1,50,7,5,9,3.5,2.5,4.5,3.2,675,61127.5,62954,194,0,0,0,0,0
Andoryuuu,PH-P308,Granger,1,0,0,7,3,5,7,3,5,4,743,86144,51532,11399,0,0,0,0,2
Andoryuuu,PH-P308,Guinevere,3,2,66.67,6,6,21,2,2,7,4.5,594.33,29986,54972.33,443.67,0,0,0,0,0
Andoryuuu,PH-P308,X.Borg,1,1,100,0,0,6,0,0,6,6,666,47882,44935,2675,0,0,0,0,0
Andoryuuu,PH-P308,Ling,12,6,50,48,24,49,4,2,4.08,4.04,781.75,31772.92,39618.92,4446.17,0,0,1,1,4
Andoryuuu,PH-P308,Baxia,11,6,54.55,17,25,72,1.55,2.27,6.55,3.56,531.91,33334.55,156719.09,477.36,0,0,0,0,1
Andoryuuu,PH-P308,Barats,2,2,100,7,2,11,3.5,1,5.5,9,705,38309,98646.5,2674,0,0,0,0,1
Andoryuuu,PH-P308,Julian,5,3,60,30,9,29,6,1.8,5.8,6.56,765.2,39135.8,45295.6,7224.4,0,0,0,2,7
Andoryuuu,PH-P308,Fredrinn,15,6,40,34,50,87,2.27,3.33,5.8,2.42,548,36510.2,138196.6,773.27,1,0,0,1,5
Andoryuuu,PH-P308,Joy,12,5,41.67,35,32,43,2.92,2.67,3.58,2.44,723.33,37350.42,58725.83,1583.5,1,0,0,1,2
Andoryuuu,PH-P308,Nolan,8,5,62.5,44,16,45,5.5,2,5.63,5.56,738.75,45973.38,39811.25,2719.75,1,0,0,0,6
Andoryuuu,PH-P308,Suyou,11,1,9.09,33,33,47,3,3,4.27,2.42,687,59977.64,66334.36,932.09,0,0,0,0,2
Bouy,ID-P0593,Fanny,3,1,33.33,15,7,9,5,2.33,3,3.43,738.67,47948,35287.67,6555.67,0,0,0,1,3
Bouy,ID-P0593,Hayabusa,1,0,0,2,5,4,2,5,4,1.2,529,51883,66357,424,0,0,0,0,0
Bouy,ID-P0593,Martis,1,1,100,2,6,6,2,6,6,1.33,458,33985,105927,6228,0,0,0,0,0
Bouy,ID-P0593,Ling,1,1,100,8,2,6,8,2,6,7,832,63958,57775,41,0,0,0,0,1
Bouy,ID-P0593,Fredrinn,3,3,100,6,8,25,2,2.67,8.33,3.88,571,25976.67,71723.67,636,0,0,0,0,0
Bouy,ID-P0593,Joy,5,3,60,21,12,8,4.2,2.4,1.6,2.42,803,43299,51177.6,3048.2,0,0,1,1,3
Bouy,ID-P0593,Nolan,1,0,0,2,3,4,2,3,4,2,601,29113,28057,2335,0,0,0,0,0
Bouy,ID-P0593,Suyou,3,3,100,19,6,16,6.33,2,5.33,5.83,824,36458,30520.67,7528.33,0,0,0,2,3
Bouy,ID-P0593,lukas,4,2,50,21,20,15,5.25,5,3.75,1.8,716.5,40660.75,75309.25,2732,0,0,0,1,3
Gugunnn,ID-P0705,Akai,5,4,80,9,4,50,1.8,0.8,10,14.75,552.8,31319,137564,1450.2,0,0,0,0,0
Gugunnn,ID-P0705,Bane,3,2,66.67,13,3,11,4.33,1,3.67,8,730.67,50639,33443,10061.67,0,0,0,0,0
Gugunnn,ID-P0705,Fanny,4,3,75,21,11,13,5.25,2.75,3.25,3.09,727.5,57802.5,50349.25,5296,0,0,0,1,2
Gugunnn,ID-P0705,Hayabusa,3,1,33.33,25,4,9,8.33,1.33,3,8.5,783,39671,28509.33,3723.67,6,0,0,3,4
Gugunnn,ID-P0705,Alpha,1,0,0,4,3,4,4,3,4,2.67,669,47159,104002,0,0,0,0,0,0
Gugunnn,ID-P0705,Roger,2,1,50,21,5,10,10.5,2.5,5,6.2,803,62374.5,60338.5,11765,4,0,0,4,4
Gugunnn,ID-P0705,Lancelot,8,6,75,26,19,44,3.25,2.38,5.5,3.68,765.5,41758.13,68903,5770.63,0,0,0,1,4
Gugunnn,ID-P0705,Helcurt,3,3,100,13,8,21,4.33,2.67,7,4.25,761.67,36028.33,54085,7652.33,0,0,0,0,0
Gugunnn,ID-P0705,Martis,12,9,75,73,29,73,6.08,2.42,6.08,5.03,687.83,38864.5,111146.5,7336.08,2,0,1,3,12
Gugunnn,ID-P0705,Ling,4,1,25,15,6,15,3.75,1.5,3.75,5,805.5,38428.5,52784.5,11312.25,0,0,0,0,1
Gugunnn,ID-P0705,Dyrroth,2,1,50,14,13,16,7,6.5,8,2.31,625.5,73639,119070.5,3072.5,0,0,0,0,1
Gugunnn,ID-P0705,Baxia,17,10,58.82,23,36,113,1.35,2.12,6.65,3.78,548.88,26740.94,109041.06,595.71,0,0,0,0,0
Gugunnn,ID-P0705,Benedetta,1,1,100,4,0,7,4,0,7,11,795,32712,46061,7804,0,0,0,0,1
Gugunnn,ID-P0705,Barats,11,4,36.36,15,33,52,1.36,3,4.73,2.03,567.73,32372,120563.45,634.18,0,0,0,0,1
Gugunnn,ID-P0705,Paquito,1,1,100,8,1,3,8,1,3,11,790,26656,21825,7952,0,0,0,0,2
Gugunnn,ID-P0705,Julian,3,1,33.33,9,6,17,3,2,5.67,4.33,746.33,35588.33,41312.33,9300.67,0,0,0,0,1
Gugunnn,ID-P0705,Fredrinn,23,15,65.22,51,50,165,2.22,2.17,7.17,4.32,578.35,30491.22,115309.61,1022.22,0,0,0,2,5
Gugunnn,ID-P0705,Joy,5,3,60,11,7,27,2.2,1.4,5.4,5.43,684.8,43565.6,64716.6,3353.4,0,0,0,0,1
Gugunnn,ID-P0705,Nolan,6,2,33.33,25,14,16,4.17,2.33,2.67,2.93,739,35146.67,40951.67,4503.17,2,0,0,0,3
Nnael,ID-P0444,Balmond,5,2,40,7,12,12,1.4,2.4,2.4,1.58,614,22722,97386.6,3036.6,0,0,0,0,1
Nnael,ID-P0444,Karina,5,1,20,12,17,13,2.4,3.4,2.6,1.47,574.6,22377.4,55743,879.6,0,0,0,0,2
Nnael,ID-P0444,Akai,16,10,62.5,26,32,95,1.63,2,5.94,3.78,583.19,23980.81,118796.88,1101.13,0,0,0,0,0
Nnael,ID-P0444,Bane,3,1,33.33,4,7,14,1.33,2.33,4.67,2.57,649.67,43840,63368.33,7943,0,0,0,0,0
Nnael,ID-P0444,Fanny,11,6,54.55,76,24,25,6.91,2.18,2.27,4.21,714.27,45961.82,34462.45,4245.45,8,0,1,1,3
Nnael,ID-P0444,Hayabusa,17,6,35.29,78,54,65,4.59,3.18,3.82,2.65,681.76,45937.94,41869.65,2968.18,1,0,0,2,10
Nnael,ID-P0444,Chou,1,1,100,4,1,6,4,1,6,10,664,31010,83697,3844,0,0,0,0,0
Nnael,ID-P0444,Alpha,7,3,42.86,21,24,40,3,3.43,5.71,2.54,619.29,34628.71,65836.43,1686.86,0,0,0,0,1
Nnael,ID-P0444,Yi Sun-shin,3,2,66.67,16,6,13,5.33,2,4.33,4.83,876.67,61667,27005.67,14390.33,1,1,1,1,2
Nnael,ID-P0444,Roger,6,2,33.33,32,14,23,5.33,2.33,3.83,3.93,723.83,45481.5,64480.67,4998.17,1,0,1,2,6
Nnael,ID-P0444,Grock,4,2,50,6,12,27,1.5,3,6.75,2.75,553.5,24982,132888.25,602.25,0,0,0,0,0
Nnael,ID-P0444,Lancelot,29,16,55.17,115,73,118,3.97,2.52,4.07,3.19,715.76,48220.66,65571.41,2783.17,1,0,0,1,10
Nnael,ID-P0444,Helcurt,2,2,100,7,3,19,3.5,1.5,9.5,8.67,776.5,36108,43462,5523,0,0,0,0,0
Nnael,ID-P0444,Gusion,2,0,0,9,9,9,4.5,4.5,4.5,2,570,61967,50893,888,0,0,0,0,1
Nnael,ID-P0444,Martis,8,3,37.5,38,21,26,4.75,2.63,3.25,3.05,608.75,33721.63,102600.13,1377,0,0,1,2,4
Nnael,ID-P0444,Thamuz,1,1,100,3,0,7,3,0,7,10,808,37999,83461,10818,0,0,0,0,1
Nnael,ID-P0444,Badang,3,1,33.33,7,6,23,2.33,2,7.67,5,491,29992.67,88877,862.67,0,0,0,0,1
Nnael,ID-P0444,Guinevere,2,2,100,2,1,19,1,0.5,9.5,21,594,39659,69697.5,3768,0,0,0,0,0
Nnael,ID-P0444,Ling,25,6,24,85,76,93,3.4,3.04,3.72,2.34,742,38424.44,51988.64,4784.92,0,0,2,2,12
Nnael,ID-P0444,Baxia,12,8,66.67,19,20,87,1.58,1.67,7.25,5.3,581.42,31888.92,146590,545.08,0,0,0,0,0
Nnael,ID-P0444,Barats,1,1,100,1,2,7,1,2,7,4,667,29920,135895,524,0,0,0,0,0
Nnael,ID-P0444,Paquito,3,1,33.33,7,10,8,2.33,3.33,2.67,1.5,646.67,26804.67,42511.33,4642.33,0,0,0,0,1
Nnael,ID-P0444,Yin,5,3,60,31,22,11,6.2,4.4,2.2,1.91,656,41775.2,59078,4865.6,0,0,0,0,3
Nnael,ID-P0444,Julian,12,5,41.67,33,21,49,2.75,1.75,4.08,3.9,664.83,29080,35116.17,3181.17,1,0,0,1,7
Nnael,ID-P0444,Fredrinn,23,15,65.22,49,58,151,2.13,2.52,6.57,3.45,594.22,33417.52,133210.65,1578.13,0,0,0,1,3
Nnael,ID-P0444,Joy,5,2,40,14,9,16,2.8,1.8,3.2,3.33,669.4,43895.2,65576.4,496.6,0,0,0,0,2
Nnael,ID-P0444,Nolan,8,4,50,35,14,33,4.38,1.75,4.13,4.86,720,32148.63,29437.63,4025.88,3,0,0,2,6
Nnael,ID-P0444,Suyou,3,1,33.33,7,11,18,2.33,3.67,6,2.27,673.33,53521,68386,462.33,0,0,0,0,0
Anavel,ID-P0663,Akai,2,1,50,2,7,9,1,3.5,4.5,1.57,482.5,19451,185512.5,325.5,0,0,0,0,0
Anavel,ID-P0663,Bane,5,3,60,15,12,31,3,2.4,6.2,3.83,765,46737,48315.8,12903.8,0,0,0,0,4
Anavel,ID-P0663,Fanny,9,2,22.22,36,22,30,4,2.44,3.33,3,653.67,34950.11,38783.67,4047.33,0,0,0,1,4
Anavel,ID-P0663,Hayabusa,7,0,0,31,17,31,4.43,2.43,4.43,3.65,667.43,41246.29,40788.57,1980.71,0,0,0,0,6
Anavel,ID-P0663,Alpha,17,11,64.71,65,43,85,3.82,2.53,5,3.49,659.41,35462.88,72956.47,3208.18,0,0,1,3,12
Anavel,ID-P0663,Roger,3,1,33.33,11,5,14,3.67,1.67,4.67,5,714,35856.33,51960.33,7216.33,0,0,0,0,2
Anavel,ID-P0663,Lancelot,10,6,60,29,28,46,2.9,2.8,4.6,2.68,757.9,44869.8,49410.3,6042.7,0,0,0,1,5
Anavel,ID-P0663,Martis,9,4,44.44,44,24,34,4.89,2.67,3.78,3.25,612,30559.78,116833.56,5485.33,3,0,0,1,9
Anavel,ID-P0663,Hanzo,1,0,0,5,2,6,5,2,6,5.5,735,65692,96048,4018,0,0,0,0,0
Anavel,ID-P0663,X.Borg,2,0,0,0,4,2,0,2,1,0.5,486.5,29007.5,103649,0,0,0,0,0,0
Anavel,ID-P0663,Ling,13,7,53.85,59,24,48,4.54,1.85,3.69,4.46,815.38,43721.85,57436.54,5854,2,0,0,2,9
Anavel,ID-P0663,Dyrroth,1,0,0,3,2,4,3,2,4,3.5,512,34155,61874,412,0,0,0,0,0
Anavel,ID-P0663,Baxia,17,8,47.06,25,52,146,1.47,3.06,8.59,3.29,531.59,29420.35,136771.24,476.76,0,0,0,0,0
Anavel,ID-P0663,Carmilla,1,0,0,2,3,5,2,3,5,2.33,493,23623,114854,1207,0,0,0,0,0
Anavel,ID-P0663,Barats,6,2,33.33,9,24,29,1.5,4,4.83,1.58,526.5,27461,102643.33,504.83,0,0,0,0,1
Anavel,ID-P0663,Paquito,1,1,100,5,2,8,5,2,8,6.5,766,45587,63767,6793,0,0,0,0,2
Anavel,ID-P0663,Julian,7,3,42.86,26,16,29,3.71,2.29,4.14,3.44,749.71,35199.14,60083,8525,0,0,0,1,3
Anavel,ID-P0663,Fredrinn,30,22,73.33,47,68,213,1.57,2.27,7.1,3.82,564.03,26071.67,120784.2,1366.43,0,0,0,0,0
Anavel,ID-P0663,Joy,16,8,50,67,48,66,4.19,3,4.13,2.77,741,52649.19,68553.63,3658.69,0,0,0,0,10
Anavel,ID-P0663,Nolan,20,7,35,73,45,63,3.65,2.25,3.15,3.02,761.5,35625,34492.2,6305.45,1,0,0,1,7
Anavel,ID-P0663,Suyou,7,6,85.71,29,16,41,4.14,2.29,5.86,4.38,793.57,57647.29,62347.29,9814.29,0,0,0,0,2
Anavel,ID-P0663,lukas,4,1,25,16,14,20,4,3.5,5,2.57,613,30036,53313.5,1653.5,0,0,1,2,3
Woshipaul,ID-P0660,Fanny,2,0,0,9,4,8,4.5,2,4,4.25,643.5,42249.5,55107.5,209.5,0,0,0,0,1
Woshipaul,ID-P0660,Hayabusa,4,1,25,10,6,17,2.5,1.5,4.25,4.5,665.5,29447.75,30989,1974,0,0,0,0,0
Woshipaul,ID-P0660,Alpha,1,1,100,4,2,5,4,2,5,4.5,618,62417,119651,0,0,0,0,0,1
Woshipaul,ID-P0660,Hanzo,1,0,0,1,1,3,1,1,3,4,573,28714,43231,0,0,0,0,0,0
Woshipaul,ID-P0660,Baxia,1,0,0,2,4,4,2,4,4,1.5,428,20299,120239,0,0,0,0,0,0
Woshipaul,ID-P0660,Fredrinn,2,0,0,2,7,17,1,3.5,8.5,2.71,452.5,19634.5,141165,982,0,0,0,0,0
Woshipaul,ID-P0660,Joy,6,0,0,10,12,16,1.67,2,2.67,2.17,684.17,27786.67,52942.67,470,0,0,0,0,2
Woshipaul,ID-P0660,Nolan,1,1,100,1,2,2,1,2,2,1.5,736,28194,36982,5043,0,0,0,0,0
Woshipaul,ID-P0660,Suyou,2,0,0,6,5,5,3,2.5,2.5,2.2,708,45321,57232,320.5,0,0,0,0,1
Woshipaul,ID-P0660,lukas,2,0,0,1,6,2,0.5,3,1,0.5,525,17858,62564,0,0,0,0,0,0